avis_id,client_id,location_id,note,commentaire,date_avis
4559,4635,1156,4,Très bonne expérience,2024-03-02
5453,4026,3804,5,,2024-03-02
2086,2719,4764,5,,2024-03-05
354,2636,6445,4,Personnel serviable,2024-03-05
5921,1687,3612,4,Personnel serviable,2024-03-06
2789,3474,8471,5,Je reviendrai sans hésiter,2024-03-08
3841,4459,3041,5,Excellent service !,2024-03-08
4247,4634,8577,5,Parfait de A à Z !,2024-03-08
1589,4143,8595,5,Je reviendrai sans hésiter,2024-03-08
4828,4671,314,5,Je reviendrai sans hésiter,2024-03-09
5313,2502,5673,4,,2024-03-09
3946,4999,1301,5,Excellent service !,2024-03-09
1497,2925,1138,5,Je reviendrai sans hésiter,2024-03-09
5519,1619,6697,4,,2024-03-10
5260,2817,7993,5,Excellent service !,2024-03-10
4673,4204,4002,5,Parfait de A à Z !,2024-03-10
3335,445,3434,4,Personnel serviable,2024-03-10
1896,4458,7560,5,Parfait de A à Z !,2024-03-11
3466,3257,5610,5,Parfait de A à Z !,2024-03-11
2429,1942,2773,5,Excellent service !,2024-03-11
751,4745,4536,5,Je reviendrai sans hésiter,2024-03-11
3416,2659,699,5,Parfait de A à Z !,2024-03-12
5092,212,8209,4,Très bonne expérience,2024-03-12
5417,893,1650,5,Excellent service !,2024-03-12
1838,721,6390,5,,2024-03-12
5210,2056,3535,5,Parfait de A à Z !,2024-03-13
5743,3727,9425,4,Voiture récente et propre,2024-03-13
1433,4787,2107,5,Je reviendrai sans hésiter,2024-03-13
289,4714,235,1,Service client inexistant,2024-03-14
1717,4336,6097,4,Très bonne expérience,2024-03-14
4923,2054,628,5,Je reviendrai sans hésiter,2024-03-14
5522,800,9902,5,Je reviendrai sans hésiter,2024-03-14
2702,3905,9301,5,Je reviendrai sans hésiter,2024-03-14
2708,3803,3823,5,Je reviendrai sans hésiter,2024-03-14
4165,201,5775,4,Très bonne expérience,2024-03-15
2143,2044,4068,4,Voiture récente et propre,2024-03-15
3371,3103,8453,4,Personnel serviable,2024-03-15
4177,3822,2130,4,Très bonne expérience,2024-03-15
4761,2228,2719,5,Je reviendrai sans hésiter,2024-03-15
4603,4236,1849,4,Voiture récente et propre,2024-03-15
628,3555,3713,3,Bon rapport qualité/prix,2024-03-15
1175,2081,3068,5,Parfait de A à Z !,2024-03-15
2013,4283,2596,5,Je reviendrai sans hésiter,2024-03-16
3889,1592,7701,4,Très bonne expérience,2024-03-16
5079,3195,1895,5,Excellent service !,2024-03-16
5397,4229,3787,5,Je reviendrai sans hésiter,2024-03-16
621,4946,4558,4,Personnel serviable,2024-03-16
4,4382,8680,5,Excellent service !,2024-03-16
1552,4470,2996,5,Parfait de A à Z !,2024-03-16
3194,2807,8892,4,Voiture récente et propre,2024-03-16
3011,4492,7032,4,Voiture récente et propre,2024-03-16
4144,3800,9158,5,Parfait de A à Z !,2024-03-16
5118,3569,2907,5,Parfait de A à Z !,2024-03-16
3690,4439,6357,5,Parfait de A à Z !,2024-03-17
3407,379,29,5,Parfait de A à Z !,2024-03-17
5318,1419,1621,4,Très bonne expérience,2024-03-17
5835,1633,1196,3,Correct mais sans plus,2024-03-17
2097,2620,49,5,Excellent service !,2024-03-17
2076,2400,3045,5,Excellent service !,2024-03-17
896,3739,6092,5,Parfait de A à Z !,2024-03-17
2421,2713,4007,5,Parfait de A à Z !,2024-03-17
4752,4269,7856,4,Personnel serviable,2024-03-18
2300,953,985,4,Voiture récente et propre,2024-03-18
1142,1115,5805,5,Excellent service !,2024-03-18
1253,1820,7307,5,Je reviendrai sans hésiter,2024-03-18
478,2184,9328,4,Personnel serviable,2024-03-18
5707,4080,3466,4,Voiture récente et propre,2024-03-18
488,1976,4357,5,Je reviendrai sans hésiter,2024-03-18
1739,2448,2323,5,Je reviendrai sans hésiter,2024-03-19
2720,1218,7619,4,Très bonne expérience,2024-03-19
3949,2326,5793,5,,2024-03-19
4183,4585,4197,5,Parfait de A à Z !,2024-03-19
2427,4604,3779,5,Excellent service !,2024-03-20
888,1767,1660,4,Voiture récente et propre,2024-03-20
5879,68,16,5,Excellent service !,2024-03-20
2158,2942,8045,5,Excellent service !,2024-03-20
1496,731,9948,5,Excellent service !,2024-03-20
29,300,587,4,Voiture récente et propre,2024-03-20
5674,980,9782,5,Je reviendrai sans hésiter,2024-03-20
1263,3307,6137,5,Parfait de A à Z !,2024-03-20
3438,1402,4402,5,Je reviendrai sans hésiter,2024-03-20
2308,876,2474,4,Voiture récente et propre,2024-03-20
1189,2736,6437,5,Je reviendrai sans hésiter,2024-03-20
81,1028,6129,4,Voiture récente et propre,2024-03-20
839,1882,7947,4,Très bonne expérience,2024-03-21
1908,4851,4900,5,Excellent service !,2024-03-21
311,4662,8226,4,Très bonne expérience,2024-03-21
2187,4893,4770,5,Je reviendrai sans hésiter,2024-03-21
4622,505,3039,4,Voiture récente et propre,2024-03-21
4087,781,7041,4,Personnel serviable,2024-03-21
4335,3458,3375,4,Personnel serviable,2024-03-22
5959,3906,7830,5,Parfait de A à Z !,2024-03-22
4293,4910,866,4,Très bonne expérience,2024-03-22
1080,421,7980,5,,2024-03-22
3293,4128,5368,4,Voiture récente et propre,2024-03-22
2056,1117,3401,4,Voiture récente et propre,2024-03-22
107,2664,6395,5,Parfait de A à Z !,2024-03-22
2728,137,4328,4,,2024-03-22
5830,4700,8083,5,Parfait de A à Z !,2024-03-22
1888,788,2499,5,Parfait de A à Z !,2024-03-23
1280,3223,3510,5,Je reviendrai sans hésiter,2024-03-23
5701,585,1288,1,Véhicule en mauvais état,2024-03-23
4359,4108,2066,5,Je reviendrai sans hésiter,2024-03-23
631,4399,2301,5,Excellent service !,2024-03-23
5053,4577,7822,5,Parfait de A à Z !,2024-03-23
1085,3783,1476,5,Parfait de A à Z !,2024-03-23
5272,4079,4049,3,Correct mais sans plus,2024-03-23
442,406,1851,5,,2024-03-24
320,4999,2662,5,Je reviendrai sans hésiter,2024-03-24
1482,2236,8712,5,Je reviendrai sans hésiter,2024-03-24
5741,442,9586,4,Personnel serviable,2024-03-24
4594,3724,2466,5,Parfait de A à Z !,2024-03-24
3074,3336,5498,4,Voiture récente et propre,2024-03-24
5275,408,4154,4,Très bonne expérience,2024-03-24
168,3332,537,5,,2024-03-24
4504,4927,292,4,,2024-03-24
3192,4473,4478,4,Personnel serviable,2024-03-24
2215,3026,9572,5,Excellent service !,2024-03-24
