client_id,date_inscription,genre,age,type_client,ville,pays,programme_fidelite,nombre_locations_total,revenu_annuel,métier
1,2023-04-19 08:53:58.939185,Homme,31,Professionnel,Marseille,France,False,1,42308.0,Sans emploi
2,2023-03-28 08:53:58.939203,Femme,34,Professionnel,Nice,France,False,5,60042.0,Étudiant
3,2024-03-18 08:53:58.939207,Homme,68,Particulier,Nice,France,False,5,46402.0,Retraité
4,2024-05-29 08:53:58.939209,Femme,56,Professionnel,Marseille,France,False,2,74928.0,Sans emploi
5,2024-06-17 08:53:58.939212,Homme,42,Particulier,Bordeaux,France,False,1,47031.0,Cadre
6,2023-05-16 08:53:58.939216,Homme,29,Particulier,Marseille,France,True,3,25501.0,Inconnu
7,2023-10-25 08:53:58.939219,Femme,31,Particulier,Nice,France,False,1,52240.0,Étudiant
8,2023-02-15 08:53:58.939222,Homme,22,Particulier,Paris,France,True,1,53940.0,Sans emploi
9,2022-05-09 08:53:58.939226,Autre,68,Particulier,Lille,France,False,4,22633.0,Retraité
10,2023-01-27 08:53:58.939230,Femme,32,Particulier,Bordeaux,France,True,3,30607.0,Retraité
11,2023-12-02 08:53:58.939234,Homme,26,Particulier,Bordeaux,France,False,10,22950.0,Artisan
12,2024-01-29 08:53:58.939239,Homme,41,Particulier,Paris,France,False,2,29322.0,Étudiant
13,2024-09-14 08:53:58.939243,Femme,23,Professionnel,Toulouse,France,True,1,,Cadre
14,2022-05-01 08:53:58.939248,Femme,66,Professionnel,Toulouse,France,True,2,72634.0,Étudiant
15,2024-10-05 08:53:58.939251,Femme,43,Professionnel,Bordeaux,France,False,1,24005.0,Artisan
16,2023-07-13 08:53:58.939256,Femme,44,Professionnel,Nice,France,True,4,59655.0,Retraité
17,2023-09-19 08:53:58.939260,Femme,36,Professionnel,Paris,France,False,3,33863.0,Étudiant
18,2024-05-10 08:53:58.939265,Femme,37,Professionnel,Toulouse,France,True,1,,Inconnu
19,2023-04-24 08:53:58.939269,Homme,18,Particulier,Bordeaux,France,False,3,62937.0,Cadre
20,2023-05-31 08:53:58.939274,Femme,53,Particulier,Paris,France,True,2,30831.0,Retraité
21,2024-12-11 08:53:58.939279,Homme,54,Particulier,Strasbourg,France,False,3,27757.0,Retraité
22,2024-11-26 08:53:58.939283,Femme,67,Particulier,Nice,France,False,1,,Commerçant
23,2023-04-11 08:53:58.939287,Femme,77,Particulier,Toulouse,France,False,2,23473.0,Retraité
24,2024-06-07 08:53:58.939291,Femme,52,Professionnel,Nice,France,False,4,74329.0,Étudiant
25,2023-11-22 08:53:58.939295,Femme,38,Particulier,Marseille,France,False,3,38895.0,Inconnu
26,2022-04-22 08:53:58.939300,Autre,37,Professionnel,Lille,France,False,3,,Sans emploi
27,2023-05-05 08:53:58.939304,Homme,57,Professionnel,Lyon,France,False,4,34494.0,Sans emploi
28,2022-03-18 08:53:58.939309,Femme,38,Particulier,Nantes,France,False,1,44228.0,Étudiant
29,2024-01-05 08:53:58.939312,Femme,56,Particulier,Marseille,France,True,1,21201.0,Inconnu
30,2023-08-10 08:53:58.939315,Femme,38,Particulier,Paris,France,False,10,61488.0,Artisan
31,2022-09-14 08:53:58.939317,Homme,77,Professionnel,Strasbourg,France,False,7,78146.0,Cadre
32,2023-03-06 08:53:58.939320,Femme,35,Particulier,Bordeaux,France,False,3,41206.0,Commerçant
33,2024-12-18 08:53:58.939323,Homme,36,Particulier,Paris,France,True,1,56285.0,Étudiant
34,2022-08-30 08:53:58.939325,Femme,22,Professionnel,Paris,France,False,1,38054.0,Étudiant
35,2024-06-09 08:53:58.939328,Homme,35,Particulier,Nice,France,False,9,79421.0,Artisan
36,2022-08-20 08:53:58.939330,Homme,54,Particulier,Paris,France,False,2,70293.0,Cadre
37,2024-10-31 08:53:58.939333,Homme,56,Particulier,Bordeaux,France,True,1,50127.0,Sans emploi
38,2023-03-01 08:53:58.939335,Femme,67,Particulier,Strasbourg,France,False,1,42261.0,Cadre
39,2022-07-01 08:53:58.939338,Homme,51,Particulier,Paris,France,True,3,,Commerçant
40,2022-03-03 08:53:58.939340,Femme,59,Particulier,Nice,France,True,2,50819.0,Commerçant
41,2023-11-18 08:53:58.939342,Homme,44,Particulier,Bordeaux,France,False,1,67302.0,Sans emploi
42,2023-08-25 08:53:58.939345,Femme,46,Particulier,Paris,France,False,12,23443.0,Étudiant
43,2023-11-24 08:53:58.939348,Femme,77,Professionnel,Toulouse,France,True,5,50473.0,Étudiant
44,2024-07-06 08:53:58.939350,Homme,44,Professionnel,Strasbourg,France,False,1,77399.0,Artisan
45,2023-11-09 08:53:58.939353,Femme,40,Particulier,Nice,France,False,5,66783.0,Retraité
46,2022-10-16 08:53:58.939355,Homme,19,Particulier,Nice,France,False,2,43480.0,Commerçant
47,2023-05-20 08:53:58.939358,Homme,25,Particulier,Paris,France,False,4,43506.0,Artisan
48,2023-01-28 08:53:58.939360,Homme,77,Particulier,Marseille,France,False,4,71205.0,Sans emploi
49,2024-12-18 08:53:58.939363,Femme,69,Professionnel,Paris,France,True,2,32660.0,Commerçant
50,2022-11-16 08:53:58.939365,Femme,56,Professionnel,Nice,France,False,12,20437.0,Commerçant
51,2022-07-28 08:53:58.939368,Femme,61,Professionnel,Marseille,France,True,1,52813.0,Commerçant
52,2022-08-28 08:53:58.939373,Homme,62,Particulier,Lyon,France,True,2,40490.0,Commerçant
53,2022-05-11 08:53:58.939377,Femme,52,Professionnel,Marseille,France,True,2,69254.0,Sans emploi
54,2023-05-16 08:53:58.939382,Femme,25,Particulier,Paris,France,False,3,77079.0,Commerçant
55,2023-03-12 08:53:58.939386,Femme,79,Professionnel,Marseille,France,False,2,48337.0,Artisan
56,2023-07-24 08:53:58.939390,Femme,18,Particulier,Nantes,France,False,2,59302.0,Sans emploi
57,2024-02-11 08:53:58.939394,Homme,33,Particulier,Marseille,France,False,2,,Cadre
58,2023-10-18 08:53:58.939399,Femme,51,Particulier,Lille,France,False,4,54839.0,Commerçant
59,2022-07-05 08:53:58.939403,Homme,20,Particulier,Toulouse,France,False,4,40023.0,Sans emploi
60,2023-06-23 08:53:58.939407,Homme,31,Professionnel,Paris,France,True,4,53403.0,Retraité
