location_id,client_id,date_location,duree_location,type_vehicule,type_carburant,lieu_location,kilométrage,prix_total,remise_appliquee,programme_fidelite_utilise,premiere_location
1,4919,2025-01-31,15,Citadine,Diesel,Gare,497.0,932.07,True,True,False
2,14,2024-11-25,9,Citadine,Essence,Aéroport,231.0,675.4,False,True,False
3,440,2024-12-01,21,Citadine,Hybride,Centre-ville,453.0,896.7,False,False,True
4,4089,2024-11-11,2,Citadine,Essence,Gare,944.0,185.61,False,False,False
5,4554,2024-02-26,25,Berline,Hybride,Aéroport,173.0,1218.55,False,True,True
6,4067,2024-11-22,29,SUV,Hybride,Gare,855.0,1620.34,False,False,False
7,772,2025-01-29,19,Citadine,Diesel,Gare,650.0,1184.23,False,False,False
8,464,2025-01-01,1,Berline,Diesel,Aéroport,530.0,83.45,False,False,False
9,1053,2024-03-28,14,SUV,Essence,Centre-ville,672.0,769.53,False,False,True
10,1458,2024-11-08,2,Berline,Électrique,Centre-ville,700.0,151.0,False,False,True
11,3116,2024-03-04,26,SUV,Essence,Aéroport,713.0,1777.81,False,False,False
12,2456,2024-12-27,27,Citadine,Essence,Aéroport,601.0,1187.95,False,False,False
13,4746,2024-08-24,18,Utilitaire,Diesel,Aéroport,972.0,644.91,False,False,True
14,2256,2024-08-14,18,Utilitaire,Essence,Gare,885.0,570.38,True,True,True
15,350,2025-01-19,8,SUV,Essence,Centre-ville,176.0,603.09,False,False,True
16,68,2024-02-27,21,Citadine,Essence,Aéroport,414.0,1115.29,False,False,False
17,1698,2024-07-19,25,Berline,Essence,Centre-ville,307.0,1231.5,False,False,False
18,3146,2025-02-16,25,Citadine,Diesel,Centre-ville,682.0,1635.34,False,True,False
19,382,2024-09-29,20,Berline,Essence,Aéroport,,1585.99,True,True,False
20,701,2024-06-22,16,Berline,Essence,Aéroport,798.0,954.46,False,False,True
21,3746,2024-08-25,27,Citadine,Diesel,Aéroport,641.0,928.19,False,False,False
22,4537,2024-06-07,4,Citadine,Diesel,Centre-ville,,436.76,False,False,False
23,2523,2025-01-01,17,Berline,Essence,Gare,375.0,1809.82,False,False,True
24,2792,2024-05-05,24,SUV,Essence,Aéroport,57.0,1465.97,True,False,False
25,341,2024-10-05,20,Citadine,Essence,Centre-ville,565.0,1026.48,False,True,True
26,2130,2024-07-29,1,Citadine,Essence,Aéroport,455.0,80.09,False,False,False
27,435,2025-01-13,27,Citadine,Essence,Centre-ville,532.0,963.89,False,False,True
28,114,2024-06-11,16,Citadine,Essence,Aéroport,803.0,757.23,False,True,False
29,379,2024-03-08,6,Citadine,Hybride,Aéroport,831.0,362.47,False,False,False
30,4619,2024-05-17,12,SUV,Hybride,Centre-ville,848.0,823.62,False,False,False
31,857,2024-05-02,17,Berline,Diesel,Aéroport,594.0,1227.51,True,False,False
32,1745,2025-01-17,23,Utilitaire,Diesel,Aéroport,682.0,1017.28,False,False,False
33,4945,2024-05-30,12,Citadine,Essence,Centre-ville,728.0,1189.88,False,True,True
34,3631,2024-06-15,1,Berline,Électrique,Gare,679.0,46.22,True,False,False
35,705,2025-01-11,2,Berline,Diesel,Aéroport,988.0,208.09,False,False,False
36,2867,2024-12-04,7,Citadine,Diesel,Gare,190.0,712.54,False,True,False
37,2949,2025-02-12,4,SUV,Diesel,Gare,291.0,308.72,False,False,True
38,2066,2025-02-19,23,Berline,Essence,Centre-ville,,898.05,False,False,False
39,3470,2024-05-23,14,Berline,Hybride,Aéroport,702.0,1656.45,False,False,True
40,966,2024-10-21,1,Utilitaire,Essence,Aéroport,884.0,85.87,False,False,True
