location_id,client_id,date_location,duree_location,type_vehicule,type_carburant,lieu_location,kilométrage,prix_total,remise_appliquee,programme_fidelite_utilise,premiere_location,paiement_id,date_paiement,montant_paye,type_paiement,statut_paiement,remise_appliquée_en_%
1,4919,2025-01-31,15,Citadine,Diesel,Gare,497.0,932.07,True,True,False,1,2025-01-31,932.07,Carte bancaire,Réussi,14.0
2,14,2024-11-25,9,Citadine,Essence,Aéroport,231.0,675.4,False,True,False,2,2024-11-24,675.4,Carte bancaire,Réussi,
3,440,2024-12-01,21,Citadine,Hybride,Centre-ville,453.0,896.7,False,False,True,3,2024-11-30,896.7,Virement,Réussi,
4,4089,2024-11-11,2,Citadine,Essence,Gare,944.0,185.61,False,False,False,4,2024-11-10,185.61,Carte bancaire,Réussi,
5,4554,2024-02-26,25,Berline,Hybride,Aéroport,173.0,1218.55,False,True,True,5,2024-02-25,1218.55,PayPal,Réussi,
6,4067,2024-11-22,29,SUV,Hybride,Gare,855.0,1620.34,False,False,False,6,2024-11-21,1620.34,Carte bancaire,Réussi,
7,772,2025-01-29,19,Citadine,Diesel,Gare,650.0,1184.23,False,False,False,7,2025-01-28,1184.23,Carte bancaire,Réussi,
8,464,2025-01-01,1,Berline,Diesel,Aéroport,530.0,83.45,False,False,False,8,2024-12-30,83.45,Carte bancaire,Réussi,
9,1053,2024-03-28,14,SUV,Essence,Centre-ville,672.0,769.53,False,False,True,9,2024-03-27,769.53,PayPal,Réussi,
10,1458,2024-11-08,2,Berline,Électrique,Centre-ville,700.0,151.0,False,False,True,10,2024-11-07,151.0,Carte bancaire,Réussi,
11,3116,2024-03-04,26,SUV,Essence,Aéroport,713.0,1777.81,False,False,False,11,2024-03-03,1777.81,PayPal,Réussi,
12,2456,2024-12-27,27,Citadine,Essence,Aéroport,601.0,1187.95,False,False,False,12,2024-12-26,1187.95,Carte bancaire,Réussi,
13,4746,2024-08-24,18,Utilitaire,Diesel,Aéroport,972.0,644.91,False,False,True,13,2024-08-22,644.91,PayPal,Réussi,
14,2256,2024-08-14,18,Utilitaire,Essence,Gare,885.0,570.38,True,True,True,14,2024-08-13,570.38,Carte bancaire,Réussi,17.0
15,350,2025-01-19,8,SUV,Essence,Centre-ville,176.0,603.09,False,False,True,15,2025-01-17,603.09,PayPal,Réussi,
16,68,2024-02-27,21,Citadine,Essence,Aéroport,414.0,1115.29,False,False,False,16,2024-02-27,1115.29,Virement,Réussi,
17,1698,2024-07-19,25,Berline,Essence,Centre-ville,307.0,1231.5,False,False,False,17,2024-07-17,1231.5,Carte bancaire,Réussi,
18,3146,2025-02-16,25,Citadine,Diesel,Centre-ville,682.0,1635.34,False,True,False,18,2025-02-15,1635.34,Carte bancaire,Réussi,
19,382,2024-09-29,20,Berline,Essence,Aéroport,,1585.99,True,True,False,19,2024-09-27,1585.99,Carte bancaire,Réussi,8.0
20,701,2024-06-22,16,Berline,Essence,Aéroport,798.0,954.46,False,False,True,20,2024-06-21,954.46,PayPal,Réussi,
21,3746,2024-08-25,27,Citadine,Diesel,Aéroport,641.0,928.19,False,False,False,21,2024-08-25,928.19,Carte bancaire,Réussi,
22,4537,2024-06-07,4,Citadine,Diesel,Centre-ville,,436.76,False,False,False,22,2024-06-07,436.76,PayPal,Réussi,
23,2523,2025-01-01,17,Berline,Essence,Gare,375.0,1809.82,False,False,True,23,2024-12-31,1809.82,Carte bancaire,Réussi,
24,2792,2024-05-05,24,SUV,Essence,Aéroport,57.0,1465.97,True,False,False,24,2024-05-05,1465.97,Carte bancaire,Réussi,19.0
25,341,2024-10-05,20,Citadine,Essence,Centre-ville,565.0,1026.48,False,True,True,25,2024-10-04,1026.48,Carte bancaire,Réussi,
26,2130,2024-07-29,1,Citadine,Essence,Aéroport,455.0,80.09,False,False,False,26,2024-07-29,80.09,PayPal,Réussi,
27,435,2025-01-13,27,Citadine,Essence,Centre-ville,532.0,963.89,False,False,True,27,2025-01-12,963.89,Carte bancaire,Réussi,
28,114,2024-06-11,16,Citadine,Essence,Aéroport,803.0,757.23,False,True,False,28,2024-06-09,757.23,Carte bancaire,Réussi,
29,379,2024-03-08,6,Citadine,Hybride,Aéroport,831.0,362.47,False,False,False,29,2024-03-07,362.47,Carte bancaire,Réussi,
30,4619,2024-05-17,12,SUV,Hybride,Centre-ville,848.0,823.62,False,False,False,30,2024-05-15,823.62,Carte bancaire,Réussi,
31,857,2024-05-02,17,Berline,Diesel,Aéroport,594.0,1227.51,True,False,False,31,2024-05-01,1227.51,Carte bancaire,Réussi,22.0
32,1745,2025-01-17,23,Utilitaire,Diesel,Aéroport,682.0,1017.28,False,False,False,32,2025-01-15,1017.28,Carte bancaire,Réussi,
33,4945,2024-05-30,12,Citadine,Essence,Centre-ville,728.0,1189.88,False,True,True,33,2024-05-29,1189.88,Carte bancaire,Réussi,
34,3631,2024-06-15,1,Berline,Électrique,Gare,679.0,46.22,True,False,False,34,2024-06-13,46.22,Carte bancaire,Réussi,22.0
35,705,2025-01-11,2,Berline,Diesel,Aéroport,988.0,208.09,False,False,False,35,2025-01-10,208.09,Carte bancaire,Échoué,
36,2867,2024-12-04,7,Citadine,Diesel,Gare,190.0,712.54,False,True,False,36,2024-12-03,712.54,Carte bancaire,Réussi,
37,2949,2025-02-12,4,SUV,Diesel,Gare,291.0,308.72,False,False,True,37,2025-02-10,308.72,PayPal,Réussi,
38,2066,2025-02-19,23,Berline,Essence,Centre-ville,,898.05,False,False,False,38,2025-02-17,898.05,PayPal,Réussi,
39,3470,2024-05-23,14,Berline,Hybride,Aéroport,702.0,1656.45,False,False,True,39,2024-05-23,1656.45,PayPal,Réussi,
40,966,2024-10-21,1,Utilitaire,Essence,Aéroport,884.0,85.87,False,False,True,40,2024-10-20,85.87,PayPal,Réussi,
41,1089,2024-04-28,9,SUV,Électrique,Gare,786.0,638.64,False,True,True,41,2024-04-27,638.64,Carte bancaire,Réussi,
42,4961,2024-09-19,14,Citadine,Hybride,Centre-ville,712.0,746.17,False,False,True,42,2024-09-18,746.17,Carte bancaire,Réussi,
43,4659,2024-11-13,25,Berline,Hybride,Centre-ville,871.0,2481.95,False,False,False,43,2024-11-13,2481.95,Carte bancaire,Réussi,
44,4988,2024-08-16,20,SUV,Essence,Centre-ville,119.0,873.6,True,False,False,44,2024-08-16,873.6,Virement,Réussi,19.0
45,4955,2025-01-29,18,SUV,Hybride,Gare,,1447.25,False,False,False,45,2025-01-27,1447.25,Carte bancaire,Réussi,
46,1878,2025-01-04,3,Berline,Hybride,Aéroport,800.0,157.63,False,False,False,46,2025-01-04,157.63,Carte bancaire,Réussi,
47,4241,2024-12-21,17,Utilitaire,Hybride,Gare,671.0,1545.14,False,True,False,47,2024-12-19,1545.14,Carte bancaire,Réussi,
48,1654,2024-03-18,2,SUV,Essence,Aéroport,57.0,104.99,False,True,False,48,2024-03-16,104.99,Carte bancaire,Réussi,
49,2620,2024-02-29,12,Citadine,Essence,Centre-ville,408.0,925.82,False,True,False,49,2024-02-27,925.82,Virement,Réussi,
50,2903,2024-09-15,30,SUV,Diesel,Centre-ville,150.0,3345.21,False,False,False,50,,3345.21,Virement,Réussi,
51,2677,2024-11-03,1,Utilitaire,Diesel,Aéroport,641.0,46.89,False,False,False,51,2024-11-01,46.89,Carte bancaire,Réussi,
52,4098,2024-06-13,16,Berline,Essence,Aéroport,626.0,1807.47,False,False,True,52,2024-06-11,1807.47,Carte bancaire,Réussi,
53,2759,2024-04-04,24,SUV,Diesel,Aéroport,317.0,2700.18,True,False,False,53,2024-04-03,2700.18,Carte bancaire,Réussi,14.0
54,4110,2024-04-16,26,Berline,Hybride,Centre-ville,677.0,2588.77,False,False,False,54,2024-04-16,2588.77,Virement,Réussi,
55,3354,2024-05-31,22,SUV,Essence,Gare,514.0,1364.37,False,False,False,55,2024-05-31,1364.37,Carte bancaire,Réussi,
56,1376,2024-03-14,18,SUV,Hybride,Gare,172.0,1616.0,False,True,False,56,2024-03-12,1616.0,Carte bancaire,Réussi,
57,2586,2024-08-01,16,SUV,Essence,Gare,571.0,1646.55,False,False,True,57,2024-08-01,1646.55,Carte bancaire,Réussi,
58,1543,2025-02-20,5,Citadine,Hybride,Aéroport,567.0,440.03,False,False,True,58,2025-02-19,440.03,Carte bancaire,Réussi,
59,1048,2024-08-07,4,SUV,Essence,Gare,476.0,276.39,False,False,False,59,2024-08-05,276.39,Carte bancaire,Réussi,
60,494,2024-05-05,8,SUV,Essence,Aéroport,678.0,789.75,False,False,False,60,2024-05-04,789.75,Carte bancaire,Réussi,
61,4293,2024-02-27,26,Berline,Électrique,Centre-ville,938.0,1459.31,False,True,False,61,2024-02-25,1459.31,Virement,Réussi,
62,2478,2025-01-27,8,Citadine,Hybride,Aéroport,63.0,936.73,True,False,False,62,2025-01-26,936.73,Carte bancaire,Réussi,7.0
63,3723,2024-04-15,30,Citadine,Diesel,Aéroport,59.0,969.46,False,False,True,63,2024-04-15,969.46,PayPal,Réussi,
64,628,2024-09-03,4,SUV,Diesel,Aéroport,355.0,252.84,False,False,False,64,2024-09-03,252.84,Carte bancaire,Réussi,
65,1800,2024-09-13,8,SUV,Hybride,Aéroport,891.0,257.52,False,False,True,65,2024-09-13,257.52,Carte bancaire,Réussi,
66,2970,2024-05-14,23,SUV,Essence,Aéroport,207.0,2682.93,False,True,True,66,2024-05-13,2682.93,Carte bancaire,Réussi,
67,1662,2024-11-05,30,SUV,Hybride,Centre-ville,322.0,1149.35,False,True,True,67,2024-11-03,1149.35,Virement,Réussi,
68,1477,2024-11-17,4,Citadine,Essence,Centre-ville,590.0,153.5,True,False,True,68,2024-11-16,153.5,Carte bancaire,Réussi,23.0
69,3033,2024-12-25,8,SUV,Diesel,Centre-ville,194.0,382.85,False,False,False,69,2024-12-23,382.85,Carte bancaire,Réussi,
70,708,2024-10-20,2,Citadine,Essence,Gare,699.0,130.63,False,False,False,70,2024-10-20,130.63,Carte bancaire,Réussi,
71,115,2024-03-31,8,SUV,Essence,Gare,529.0,511.58,False,True,False,71,2024-03-29,511.58,Carte bancaire,Réussi,
72,2278,2025-02-13,12,Berline,Diesel,Aéroport,98.0,379.92,False,False,False,72,2025-02-12,379.92,PayPal,Réussi,
73,140,2024-09-15,22,Berline,Diesel,Aéroport,665.0,2408.23,False,False,True,73,2024-09-15,2408.23,PayPal,Réussi,
74,1756,2024-10-04,1,Citadine,Hybride,Centre-ville,588.0,99.86,False,True,True,74,2024-10-03,99.86,Carte bancaire,Réussi,
75,677,2024-10-19,12,SUV,Essence,Aéroport,802.0,619.67,True,False,True,75,2024-10-18,619.67,PayPal,Réussi,6.0
76,852,2024-12-05,15,Citadine,Essence,Centre-ville,976.0,1797.74,False,False,True,76,2024-12-03,1797.74,Carte bancaire,Réussi,
77,2116,2024-12-08,18,Berline,Essence,Centre-ville,702.0,1458.47,True,False,False,77,2024-12-06,1458.47,Carte bancaire,Réussi,12.0
78,2403,2024-06-13,15,Utilitaire,Électrique,Aéroport,346.0,796.95,False,True,True,78,2024-06-11,796.95,Carte bancaire,Réussi,
79,1461,2024-06-14,23,SUV,Électrique,Aéroport,672.0,1196.02,False,False,False,79,2024-06-14,1196.02,PayPal,Réussi,
80,2959,2024-10-16,19,Citadine,Électrique,Centre-ville,61.0,2060.03,False,True,False,80,2024-10-15,2060.03,Carte bancaire,Réussi,
81,367,2024-12-17,8,Citadine,Essence,Aéroport,769.0,571.73,False,False,False,81,2024-12-17,571.73,PayPal,Réussi,
82,4199,2024-04-12,27,Berline,Hybride,Gare,367.0,849.56,False,True,False,82,2024-04-11,849.56,Carte bancaire,Réussi,
83,4942,2024-10-23,6,Berline,Hybride,Aéroport,626.0,219.11,False,False,False,83,2024-10-22,219.11,Carte bancaire,Réussi,
84,2216,2024-04-09,26,SUV,Essence,Aéroport,862.0,3010.55,False,False,True,84,2024-04-08,3010.55,Virement,Réussi,
85,2207,2024-09-11,3,Berline,Diesel,Aéroport,761.0,243.2,False,False,False,85,2024-09-09,243.2,Carte bancaire,Réussi,
86,3367,2024-09-23,6,Citadine,Essence,Aéroport,938.0,393.32,True,False,False,86,2024-09-21,393.32,Carte bancaire,Réussi,24.0
87,2759,2024-05-06,7,Citadine,Diesel,Aéroport,679.0,480.67,False,False,False,87,2024-05-05,480.67,Carte bancaire,Réussi,
88,3572,2024-03-20,29,Berline,Diesel,Aéroport,745.0,1506.69,False,False,True,88,,1506.69,Carte bancaire,Réussi,
89,4729,2024-05-03,28,SUV,Électrique,Gare,844.0,3286.74,False,False,False,89,2024-05-02,3286.74,Carte bancaire,Réussi,
90,1008,2024-07-02,28,Citadine,Essence,Centre-ville,669.0,1686.7,True,False,False,90,2024-07-02,1686.7,PayPal,Réussi,6.0
91,2177,2024-03-29,27,Citadine,Diesel,Centre-ville,690.0,900.87,False,False,False,91,2024-03-27,900.87,PayPal,Réussi,
92,586,2024-08-08,25,Citadine,Essence,Aéroport,594.0,2325.49,True,False,False,92,2024-08-08,2325.49,PayPal,Réussi,28.0
93,755,2024-05-19,2,SUV,Essence,Aéroport,821.0,233.24,False,True,False,93,2024-05-19,233.24,PayPal,Réussi,
94,1704,2024-05-07,4,Citadine,Essence,Aéroport,,191.21,False,True,True,94,2024-05-07,191.21,Carte bancaire,Réussi,
95,1022,2024-05-01,29,Citadine,Essence,Centre-ville,410.0,1004.78,False,False,False,95,2024-04-30,1004.78,Virement,Réussi,
96,4979,2024-06-09,1,Citadine,Diesel,Gare,208.0,98.52,False,True,False,96,2024-06-08,98.52,PayPal,Réussi,
97,1203,2025-01-21,29,Citadine,Essence,Aéroport,483.0,1733.37,False,False,False,97,2025-01-19,1733.37,PayPal,Réussi,
98,690,2024-03-10,17,Citadine,Diesel,Aéroport,,1494.11,True,True,True,98,2024-03-10,1494.11,Carte bancaire,Réussi,12.0
99,4914,2025-01-19,28,Berline,Diesel,Aéroport,428.0,1592.61,False,False,False,99,2025-01-18,1592.61,Carte bancaire,Réussi,
100,1731,2024-04-27,4,SUV,Essence,Gare,618.0,204.57,False,False,False,100,2024-04-25,204.57,Carte bancaire,Réussi,
101,4842,2025-02-01,13,Citadine,Essence,Gare,541.0,810.66,False,False,False,101,2025-01-31,810.66,Virement,Réussi,
102,3189,2025-01-12,27,Citadine,Diesel,Aéroport,828.0,1520.79,False,False,False,102,2025-01-11,1520.79,Carte bancaire,Réussi,
103,1920,2024-05-31,14,Utilitaire,Essence,Aéroport,529.0,1300.31,False,True,True,103,2024-05-31,1300.31,PayPal,Réussi,
104,2828,2024-08-26,11,SUV,Essence,Gare,572.0,1056.39,False,True,False,104,2024-08-25,1056.39,Virement,Réussi,
105,2483,2024-11-08,11,Berline,Essence,Gare,486.0,1291.67,False,False,False,105,2024-11-07,1291.67,Carte bancaire,Réussi,
106,703,2024-07-12,4,Berline,Diesel,Centre-ville,,331.4,False,True,True,106,2024-07-11,331.4,Carte bancaire,Réussi,
107,1488,2024-03-07,15,SUV,Diesel,Gare,223.0,1626.09,False,False,False,107,2024-03-07,1626.09,PayPal,Réussi,
108,3936,2024-07-03,9,SUV,Essence,Centre-ville,664.0,372.66,False,False,True,108,2024-07-03,372.66,PayPal,Réussi,
109,4055,2024-09-09,2,Berline,Essence,Aéroport,986.0,143.99,False,False,False,109,2024-09-09,143.99,Carte bancaire,Réussi,
110,956,2024-06-28,19,SUV,Diesel,Gare,214.0,2189.93,True,False,False,110,2024-06-26,2189.93,PayPal,Réussi,29.0
111,1772,2024-11-08,29,SUV,Essence,Aéroport,897.0,1301.64,False,False,False,111,2024-11-07,1301.64,Virement,Réussi,
